2025-03-27 23:46:12 	f6c0fe6b-7098-49a3-8575-0b133b356f76 	GET 	 undefined	 / 	/
2025-03-28 16:37:20 	0a32a083-195b-400e-a9cb-603d42445d3d 	GET 	 undefined	 //kjjh 	//kjjh
2025-03-28 16:37:20 	27aa38e9-3514-4912-b584-d614bfa0682f 	GET 	 undefined	 //css/404.css 	//css/404.css
2025-03-28 16:37:26 	a31be179-74bb-4b0c-9caf-e1454305dbac 	GET 	 undefined	 / 	/
2025-03-28 16:37:26 	dcd3cfa8-4823-4800-830d-eba376c6988d 	GET 	 undefined	 /css/style.css 	/css/style.css
2025-03-28 16:37:38 	6f7e3847-6272-4e71-8587-7229ace1427d 	GET 	 undefined	 /canpage 	/canpage
2025-03-28 16:37:38 	5e6e43f3-8eea-4769-b2d0-71239df064f3 	GET 	 undefined	 /css/404.css 	/css/404.css
2025-03-31 15:36:20 	ccd0e46d-ca4f-4717-ac06-cbc41c45323d 	GET 	 undefined	 / 	/
2025-03-31 15:36:21 	8c586af5-828a-4742-b383-5b3bbde00d7b 	GET 	 undefined	 /css/style.css 	/css/style.css
2025-03-31 15:36:32 	a636a84b-3ead-4d70-bb54-5370e512483d 	GET 	 undefined	 /favicon.ico 	/favicon.ico
2025-03-31 15:36:44 	3c1c424a-5117-4528-8338-55bfb250ad19 	GET 	 undefined	 /newpage.html 	/newpage.html
2025-03-31 15:38:10 	6d46fbdf-27c2-4609-a28b-5e3c8396e259 	GET 	 undefined	 /employees 	/employees
2025-03-31 15:39:46 	e2ceba1c-b075-4776-8e85-0b1a066caff5 	GET 	 undefined	 /employees/1 	/employees/1
2025-03-31 15:41:24 	e7b4fef6-3fad-40a4-b606-32f0baf21f28 	GET 	 undefined	 /employees/1 	/employees/1
2025-03-31 15:42:22 	c48f7e81-284b-4fba-a6fe-dc23570131ad 	POST 	 undefined	 /employees 	/employees
2025-03-31 15:42:23 	e501a220-1603-42b5-ae80-39079130ceb2 	${err.name}:${err.message}
2025-03-31 15:47:37 	dc226270-c364-4967-8c85-eee437d9581b 	POST 	 undefined	 /employees 	/employees
2025-03-31 15:47:37 	1142d0a7-ee02-4c98-bb40-e2c261cc71cf 	${err.name}:${err.message}
2025-03-31 15:47:42 	c7293b86-e504-420f-9ea6-c47d3601071d 	POST 	 undefined	 /employees 	/employees
2025-03-31 15:47:42 	d313750f-4c5a-472d-829f-84ddb5d4e85e 	${err.name}:${err.message}
2025-03-31 15:49:19 	030b38ac-ce23-4d11-a5bd-a92496e2a265 	POST 	 undefined	 /employees 	/employees
2025-03-31 15:49:29 	87029724-31b6-48a0-9d56-239983ddc352 	POST 	 undefined	 /employees 	/employees
2025-03-31 19:27:43 	cef22ba1-995c-439c-a62a-bb24e35e9516 	GET 	 undefined	 /employees 	/employees
2025-03-31 19:27:52 	5ae9f005-a78f-414e-925e-0905d60acdf3 	POST 	 undefined	 /employees 	/employees
2025-03-31 19:28:39 	0506ba7c-c4cc-452c-91b9-996443a8722a 	GET 	 undefined	 /employees 	/employees
